state;geo_zone;pop_2016
Abia;South East;3644714.0
Adamawa;North East;4145684.0
Akwa Ibom;South South;5353609.0
Anambra;South East;5425334.0
Bauchi;North East;6386388.0
Bayelsa;South South;2228965.0
Benue;North Central;5568946.0
Borno;North East;5669054.0
Cross River;South South;3780419.0
Delta;South South;5502806.0
Ebonyi;South East;2819675.0
Edo;South South;4138994.0
Ekiti;South West;3174006.0
Enugu;South East;4299281.0
Fct;North Central;2996670.0
Gombe;North East;3160494.0
Imo;South East;5283288.0
Jigawa;North West;5690516.0
Kaduna;North West;8007205.0
Kano;North West;12706778.0
Katsina;North West;7645575.0
Kebbi;North West;4311454.0
Kogi;North Central;4327246.0
Kwara;North Central;3129582.0
Lagos;South West;12102238.0
Nasarawa;North Central;2459321.0
Niger;North Central;5394631.0
Ogun;South West;5048351.0
Ondo;South West;4541779.0
Osun;South West;4596693.0
Oyo;South West;7636122.0
Plateau;North Central;4088038.0
Rivers;South South;7081412.0
Sokoto;North West;4879641.0
Taraba;North East;2984174.0
Yobe;North East;3197296.0
Zamfara;North West;4376911.0
